词条ID,分类列表,英文原文,润色前,润色后,命中原因,来源文件示例
T001703,角色人物,"I will tell you. If you are a partisan of the Khan Urkhun and his brood, however, you may not like it.",我会告诉你。但若你是可汗乌尔昆及其子孙的拥护者，你恐怕不会喜欢。,我会告诉你。但如果你是可汗乌尔昆及其子孙的拥护者，你恐怕不会喜欢。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001704,角色人物,"You probably know that the Khuzaits once lived out on the open grass. But our khans became used to luxuries. They lived in cities, and wished to trade with and make war upon other kings. Khan Urkhun, whom some call the Great and others call the Cruel, decided the clans must live in fixed places, so he could count their warriors and levy them, and count their flocks and tax them. Thirty years ago Khan Urkhun ordered all the clans of the Khuzaits to claim land and live upon it, and the noyans to build castles. Most complied, for they had come to value their comforts more than their freedom.",你大概知道库赛特人曾生活在开阔的草原上。但我们的可汗们习惯了奢华。他们住在城里，想与其他国王贸易和交战。可汗乌尔昆——有人称他为伟大者，也有人称他为残暴者——下令所有部族必须定居，以便他清点战士征召他们，清点畜群向他们征税。三十年前，可汗乌尔昆命令所有库赛特部族占地定居，诺颜们建造城堡。多数人服从了，因为他们已更看重安逸而非自由。,你大概知道库赛特人曾生活在开阔的草原上。但我们的可汗们习惯了奢华。他们住在城里，想与其他国王贸易和交战。可汗乌尔昆——有人称他为伟大者，也有人称他为残暴者——下令所有部族必须定居，好让他清点战士征召他们，清点畜群向他们征税。三十年前，可汗乌尔昆命令所有库赛特部族占地定居，诺颜们建造城堡。多数人服从了，因为他们已更看重安逸而非自由。,翻译腔命中：以便,SandBox/ModuleData/wanderer_strings.xml
T001706,角色人物,"I am one of those whose clan was hunted down a generation ago when they refused the decree of Urkhun Khan, that they must settle and be taxed. They took our flocks, and we have since lived like beggars on the edge of the towns. The far grass teases us with its beauty, but if we went there with no sheep, we would soon starve.",我便是那代人中被追捕的部族之一，因他们拒绝乌尔昆可汗的敕令——必须定居并纳税。他们夺走了我们的畜群，从此我们像乞丐一样活在城镇边缘。远方的草原以其美丽嘲弄着我们，但若我们无羊而去，很快便会饿死。,我便是那代人中被追捕的部族之一，因他们拒绝乌尔昆可汗的敕令——必须定居并纳税。他们夺走了我们的畜群，从此我们像乞丐一样活在城镇边缘。远方的草原以其美丽嘲弄着我们，但如果我们无羊而去，很快便会饿死。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001710,角色人物,"Urkhun Khan decreed a generation ago that all the Khuzaits must settle, to be conscripted and taxed. We refused. His men took our flocks, and we have since lived like beggars on the edge of the towns. I have resolved to go out and earn the money we need to buy new flocks, and then we shall go again into the great grass, beyond the reach of any tyrant or khan.",乌尔昆可汗在一代人前敕令所有库赛特人定居，以便征兵征税。我们拒绝了。他的人夺走了我们的畜群，从此我们像乞丐一样活在城镇边缘。我决心外出赚够买新畜群的钱，然后我们将再次进入辽阔的草原，远离任何暴君或可汗的魔爪。,乌尔昆可汗在一代人前敕令所有库赛特人定居，好征兵征税。我们拒绝了。他的人夺走了我们的畜群，从此我们像乞丐一样活在城镇边缘。我决心外出赚够买新畜群的钱，然后我们将再次进入辽阔的草原，远离任何暴君或可汗的魔爪。,翻译腔命中：以便,SandBox/ModuleData/wanderer_strings.xml
T001717,角色人物,"There's not much more to say. My master was a sadistic animal but he let me keep my winnings, and eventually buy my freedom. I think he may also have realized that eventually, had he kept me against my will, he'd have ended up with a severed neck vein. So here I am, looking to make a living through the only means I know - shedding other people's blood. Got work?",没什么可多说的了。我的主人是个残暴的畜生，但他让我保留赢来的钱，最终我赎回了自由。我想他也意识到，若强行留我，迟早会被我割断颈静脉。所以我在此，用我唯一知晓的方式谋生——取他人之血。有活儿吗？,没什么可多说的了。我的主人是个残暴的畜生，但他让我保留赢来的钱，最终我赎回了自由。我想他也意识到，如果强行留我，迟早会被我割断颈静脉。所以我在此，用我唯一知晓的方式谋生——取他人之血。有活儿吗？,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T001719,角色人物,"Well, if you wish to know how cruel a pack can be to one of its own, I could enlighten you.",好吧，若你想知道一个群体能对自己人有多残忍，我可以告诉你。,好吧，你想知道一个群体能对自己人有多残忍，我可以告诉你。,翻译腔命中：若,SandBox/ModuleData/wanderer_strings.xml
T002176,对话文本,"I heard you fought ship to ship with {DEFEATED_PARTY_LEADER}, and won.",我听说你与{DEFEATED_PARTY_LEADER}舰船对舰船交战，并赢得了胜利。,听说你和{DEFEATED_PARTY_LEADER}打过舰船对舰船，还赢了。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002178,对话文本,"We did well to defeat those pirates back there. The common enemy of mankind, so they say.",我们干得漂亮，击退了那些海盗。他们可是全人类的公敌，人们都这么说。,我们干得漂亮，击退了那些海盗。他们可是全人类的公敌，都这么说。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002179,对话文本,I hear you seized one of my trading vessels. I am not pleased.,我听说你扣押了我的一艘商船。我很不高兴。,听说你扣了我一艘商船。我很不高兴。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002181,对话文本,I remember when you and I last fought together. We had good ships and valiant crews. It's a pity we did not prevail.,我记得你和我上次并肩作战。我们有好的舰船和英勇的船员。可惜我们没能获胜。,我记得你和我上次并肩作战。我们有精良的舰船和英勇的船员。可惜没能赢。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002182,对话文本,"I shall mark down your name. Now, do not take it amiss if I do not invite you to dine on board, for the world is a treacherous place, and I have learned to be wary.",我会记下你的名字。现在，如果我不邀请你上船用餐，请别见怪，因为这世道险恶，我已学会谨慎。,我会记下你的名字。现在，如果我不请你上船用餐，别见怪，这世道险恶，我学会了谨慎。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002184,对话文本,"Strike your sails and ship your oars, or we shall attack.[ib:warrior][if:convo_angry]",降帆收桨，否则我们将发起攻击。[ib:warrior][if:convo_angry],降帆收桨，否则我们就进攻。[ib:warrior][if:convo_angry],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002185,对话文本,"Heave to and prepare to be boarded, or fight.[ib:warrior][if:convo_angry]",停船准备接舷，否则开战。[ib:warrior][if:convo_angry],停船，准备接舷，不然就开打。[ib:warrior][if:convo_angry],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002186,对话文本,"Right. So unless you ship your oars now and let us board you, you're going down.[ib:warrior][if:convo_angry]",好。所以除非你现在收桨让我们登船，否则你就要沉了。[ib:warrior][if:convo_angry],行。所以你现在不收桨让我们登船，那就等着沉吧。[ib:warrior][if:convo_angry],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002187,对话文本,"Ahoy there! There's a tax on ships in these waters, sailor, paid either in coin or in blood.[if:convo_mocking_revenge]",喂！在这片水域，舰船都要交税，水手，要么付钱，要么流血。[if:convo_mocking_revenge],喂！这片水域的舰船都要交税，水手，要么付钱，要么流血。[if:convo_mocking_revenge],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002188,对话文本,"You! Heave to, you bastards, or we'll cut every last one of your throats.[if:convo_bared_teeth]",你！停船，你们这些混蛋，否则我们就把你们一个个割喉。[if:convo_bared_teeth],你！停船，你们这群混蛋，不然把你们一个个全割喉。[if:convo_bared_teeth],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002189,对话文本,Ahoy there. Furl your sails and ship your oars.[if:convo_mocking_revenge],喂。收塞尔收桨。[if:convo_mocking_revenge],喂。收塞尔，收桨。[if:convo_mocking_revenge],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002190,对话文本,"Oh aye, you can buy your lives. I wouldn't push too hard on the price if I were you, though, as you might say it's a bit of a seller's market.[ib:hip][rf:convo_bemused]",哦，当然，你们可以买命。不过，我要是你，就不会在价钱上太较劲，毕竟这可是卖方市场。[ib:hip][rf:convo_bemused],哦，当然，你们可以买命。不过我要是你，就不会在价钱上太较劲，毕竟这可是卖方市场。[ib:hip][rf:convo_bemused],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002195,对话文本；系统文本,"Good. Now be careful out there. World's full of thieves, not all of them as kind as we are.[ib:closed][rf:convo_bemused]",好。路上小心。世上多的是贼，不是所有都像我们这么仁慈。[ib:closed][rf:convo_bemused],好。路上小心。这世道贼多，不是个个都像我们这么好心。[ib:closed][rf:convo_bemused],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002196,对话文本,"Well, let no one say we didn't give you a chance.[ib:aggressive][if:convo_annoyed]",好吧，别让人说我们没给过你机会。[ib:aggressive][if:convo_annoyed],行，别让人说我们没给过你机会。[ib:aggressive][if:convo_annoyed],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002197,对话文本,Expect no mercy.[ib:aggressive][if:convo_very_stern],别指望仁慈。[ib:aggressive][if:convo_very_stern],别指望手下留情。[ib:aggressive][if:convo_very_stern],对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002199,对话文本,"The Nords are a people made by the sea. The very name of their home, the Nordvyg, refers to the icy stretch of glacier-cut coastline that links their scattered settlements. Until recently, their towns were little more than a shrine or market beside a fjord or estuary, surrounded by a palisade. Some make a modest living by farming barley and raising sheep, but those with ambition must venture forth in their longships to trade, plunder or fight for hire.",诺德人是海洋造就的民族。他们的家园诺德维格之名，正是指冰川切割海岸形成的冰寒峡湾，连接着他们散落的定居点。直到不久以前，他们的城镇不过是峡湾或河口旁的神殿或集市，周围围着木栅栏。有些人靠种植大麦和养羊勉强度日，但有野心的人必须乘长船出海，去贸易、掠夺或受雇作战。,诺德人是海洋造就的民族。他们的家园诺德维格，名字指的就是冰川切割海岸形成的冰寒峡湾，连接着他们散落的定居点。直到不久以前，他们的城镇不过是峡湾或河口旁的神殿或集市，周围围着木栅栏。有些人靠种大麦和养羊勉强度日，但有野心的人必须乘长船出海，去贸易、掠夺或受雇作战。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002202,对话文本,king,国王,科农格,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002203,对话文本,queen,女王,女科农格,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002208,对话文本,{?RULER.GENDER}Queen{?}King{\?} {RULER.NAME},{?RULER.GENDER}女王{?}国王{\?} {RULER.NAME},{?RULER.GENDER}女科农格{?}科农格{\?} {RULER.NAME},对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002215,对话文本,"I am {CONVERSATION_CHARACTER.LINK}, of the {CLAN_NAME}, one of the ancient lineages of the Nords.",我是{CONVERSATION_CHARACTER.LINK}的{CLAN_NAME}，诺德人古老血脉之一。,我是{CONVERSATION_CHARACTER.LINK}的{CLAN_NAME}，诺德人的古老血脉之一。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002217,对话文本,"I am {CONVERSATION_CHARACTER.LINK}. I will not boast to you of my lineage. A true son of the North aims to surpass his fathers, not live off of their reputation.",我是{CONVERSATION_CHARACTER.LINK}。我不会向你夸耀我的血统。真正的北方之子志在超越父辈，而非靠他们的名声过活。,我是{CONVERSATION_CHARACTER.LINK}。我不会跟你吹嘘我的血统。真正的北方之子志在超越父辈，而不是靠他们的名声过活。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002225,对话文本,I wonder how many men you have slain to forget a child's taunt.,我好奇你杀了多少人，才能忘记儿时的嘲弄。,我很好奇，你杀了多少人，才能忘掉儿时的一句嘲弄。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002226,对话文本,"So... Perhaps you have a need of warriors, or captains for your ships. If you are a generous lord, then I can be a worthy follower.",所以……也许你需要战士，或者船长。如果你是个慷慨的领主，那我就是个值得追随的人。,所以……也许你需要战士，或者舰船的船长。如果你是个慷慨的领主，那我值得追随。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002227,对话文本,"I was the youngest son in my family. Well, in our lands, sons - especially the youngest - are expected to make their own name. I can fight by land or by sea, and I am ready to serve whoever rewards me well.",我是家中最小的儿子。在我们那里，儿子——尤其是最小的——必须自己闯出名号。我陆战海战皆可，谁出价高，我便为谁效力。,我是家里最小的儿子。在我们那儿，儿子——尤其是最小的——得自己闯出名号。我陆战海战都行，谁出价高，我就为谁效力。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002228,对话文本,"I seek work. I will tell you my story, so that you are in no doubt of my skills.",我寻一份差事。且听我道来，你便知我本事如何。,我找份活儿干。跟你讲讲我的故事，你就知道我的本事了。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002229,对话文本,"I come from Svalfjord. Farther north than that, people cannot live. There is ice in our bay for six months of the year. In the summer we hunt whales, black whales, which are smaller than most but are cunning and can still sink you if you're not careful. Each summer we gather in our boats and drive the whales into the fjord. Since I was a girl I would go with my father and uncle and several others from the village.",我来自斯瓦尔峡湾。再往北，便无人能居。海湾一年有六个月结冰。夏日我们猎鲸，黑鲸——比多数鲸鱼小，却狡诈异常，稍不留神便能掀翻你的船。每年夏天，我们聚船驱鲸入峡。自少女时起，我便随父亲、叔父和村里人一同出海。,我来自斯瓦尔峡湾。再往北，人就活不了了。海湾一年有六个月结冰。夏天我们捕鲸，黑鲸——比多数鲸鱼小，但很狡猾，稍不留神就能掀翻你的船。每年夏天，我们聚船把鲸赶进峡湾。我从少女时起，就跟着父亲、叔父和村里人一起出海。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002230,对话文本,"There was a dispute over a whale carcass. I do not remember what caused it, exactly, but my father felt he had sole claim to it. He cursed the others and said words that could not be unsaid. He would not apologize, and had to leave the village. So it was just me, him and my uncle, living alone on the coast, in a shelter dug into the turf with a hole in the roof to let out smoke.",曾因一头鲸尸起争执。具体缘由我已记不清，但父亲认为那鲸独属于他。他咒骂众人，说了些覆水难收的话。他不肯道歉，只得离村。于是只剩我、父亲和叔父三人，独居海岸，住在一间挖进草皮、屋顶开洞排烟的棚屋里。,有一回为了一头鲸尸起了争执。具体原因我记不清了，但我父亲觉得那鲸独属对他。他咒骂其他人，说了些收不回来的话。他不肯道歉，只好离开村子。于是只剩我、父亲和叔父三人，独居海岸，住在一间挖进草皮、屋顶开洞排烟的棚屋里。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002231,对话文本,"My father insisted that we would still hunt. It was madness, just three people in a boat, but what else could we do? One day a whale that he harpooned dragged us far out to sea. When we were struggling to row back, a storm blew up, and sank the boat. My father and I swam ashore but my uncle drowned. I'd had enough. I left the next day.",父亲执意继续捕鲸。三人一船，简直是疯了，可我们又能如何？一日，他叉中的鲸将我们拖入远海。我们奋力回划时，风暴骤起，船沉了。父亲与我游上岸，叔父却溺亡。我受够了。次日便离开了。,父亲执意继续捕鲸。三个人一条船，简直是疯了，可我们又能怎样？有一天，他叉中的鲸把我们拖进了远海。我们拼命往回划时，风暴骤起，船沉了。父亲和我游上了岸，但叔父淹死了。我受够了。第二天就走了。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002232,对话文本,"Some men persist in folly unto death, and there is nothing you can do.",有些人执迷不悟至死，你毫无办法。,有些人执迷不悟到死，你一点办法也没有。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002233,对话文本,"Where I come from, parents are to be honored and obeyed.",在我家乡，父母当受尊敬与服从。,在我家乡，父母应当受到尊敬和服从。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002234,对话文本,"So... I can cast a harpoon, and handle a boat that is being dragged by a whale in its death throes. I think I would be of use in any ship's crew, if the pay is right.",所以……我能掷鱼叉，也能在被垂死之鲸拖拽的船上掌舵。若报酬合适，我想任何船上的水手我都做得来。,所以……我能掷鱼叉，也能在被垂死之鲸拖拽的船上掌舵。只要报酬合适，我想任何舰船上的水手我都干得了。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002235,对话文本,"I am from the Svalfjord, the further reaches of the Nordlands. We hunt whales in small boats. We trust our lives to each other's skill. If you have a ship to crew, you will find no one better.",我来自斯瓦尔峡湾，诺德兰的偏远之地。我们乘小舟猎鲸，性命相托于彼此技艺。若你有船需人，再找不到比我更好的了。,我来自斯瓦尔峡湾，诺德兰的偏远地带。我们乘小舟猎鲸，性命相托于彼此的技艺。如果你有舰船需要人手，你找不到比我更好的了。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002236,对话文本,"I was born in a farm near Throndelag, but my family moved to the new lands near the Jumne river. If I see neither place again as long as I live, I will have no regret.",我生于特隆德拉格附近的一座农场，但家人迁居到了尤姆讷河畔的新地。若此生再不见这两处地方，我也毫无遗憾。,我生在特隆德拉格附近的一座农场，但家人迁到了尤姆讷河畔的新地。就算这辈子再也见不到这两个地方，我也毫无遗憾。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002237,对话文本,"We moved to the Jumne because we heard there was farmland for the taking. When we arrived, we found there were Vanni already there, but at first they did not mind our presence. They lived in the woods and left us the open meadows by the river. I was given in marriage to the Vanni chieftain's son to seal the arrangement, along with some cloth and axe-heads.",我们迁往尤姆讷，是因听说那里有田可占。抵达时，发现瓦尼人已在彼处，但起初他们并不介意。他们居于林中，将河畔的开阔草地留给我们。为缔结协议，我连同一些布匹和斧头被许配给瓦尼酋长之子。,我们迁往尤姆讷，是因为听说那里有田可占。到了才发现瓦尼人已经在那里，但起初他们并不介意。他们住在林子里，把河边的开阔草地留给了我们。为了缔结协议，我连同一些布匹和斧头被许配给了瓦尼酋长的儿子。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002238,对话文本,"More Nords followed, however. I was living in my husband's village, and the Vanni complained that the coming and going ruined the hunting. They thought this voided the deal. There were talks, but they went nowhere. So the Vanni killed some Nords in the fields - though not my brothers, as a consideration to me.",然而，更多的诺德人接踵而至。我住在丈夫的村子里，瓦尼人抱怨人来人往破坏了狩猎。他们认为这使协议作废。双方谈判，却无果而终。于是瓦尼人在田里杀了一些诺德人——但念及我，未动我的兄弟。,然而，更多的诺德人接踵而至。我住在丈夫的村子里，瓦尼人抱怨人来人往破坏了狩猎。他们认为这使协议作废。双方谈过，但毫无结果。于是瓦尼人在田里杀了一些诺德人——但念及我，没动我的兄弟。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002239,对话文本,"The Vanni hoped the other Nords would flee. But they did not know them. One of my brothers came to me in secret. He told me to poison my Vanni husband's family, like I was that old queen of Sturgland. Hah! One day my family demands that I wed this man and have his children, the next they say to kill him? I wasn't having it. I slipped off that night, and wish to see neither brothers nor husband again.",瓦尼人指望其他诺德人会逃走。但他们不了解诺德人。我的一位兄弟秘密来找我，让我毒死瓦尼丈夫的家人，就像那位斯特吉兰的老女王一样。哈！一天家人要我嫁与此人生儿育女，第二天又让我杀他？我才不干。当夜我便溜走，兄弟和丈夫，我一个也不想再见。,瓦尼人指望其他诺德人会逃走。但他们不了解诺德人。我的一位兄弟偷偷来找我，让我毒死瓦尼丈夫的家人，就像斯特吉兰那位老女科农格一样。哈！一天家人要我嫁给这人生儿育女，第二天又让我杀他？我才不干。当夜我就溜了，兄弟和丈夫，我一个也不想再见。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002240,对话文本,"Yes, certainly family can be demanding...",是啊，家人有时确实苛求……,是啊，家人有时候确实要求很多……,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002241,对话文本,"Hmf. Without kin, we are as beasts.",哼。无亲族，人便如禽兽。,哼。没有亲族，人就跟野兽一样。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002242,对话文本,"At any rate, a year with the Vanni has taught me much about the woods, about herbs, the treatment of wounds and fevers. I reckon I could be of good use to a company of warriors.",无论如何，与瓦尼人相处一年，我学到了许多关于森林、草药、以及治疗创伤和热病的知识。我想我对一支战团会很有用。,不管怎么说，跟瓦尼人待了一年，我学到了很多关于森林、草药、以及治疗创伤和热病的本事。我想我对一支战团会很有用。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002243,对话文本,"I am from the Jumne. Although I am Nord by birth, I have lived among the Vanni. I know much about herbs, and the art of healing.",我来自尤姆讷。虽生为诺德人，却曾与瓦尼人同住。我深谙草药与治疗之术。,我来自尤姆讷。虽然生为诺德人，但曾在瓦尼人中生活。我深谙草药与治疗之术。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002244,对话文本,"You want to hear a story, eh? I'll tell you the short version. The long, well, that could keep a longhouse entertained for a half-dozen midwinter nights. Beinlandings... In matters of the law, they don't like to make things simple. Or cheap.",想听故事，嗯？我讲个短的。长的嘛，够让长屋里的人乐上六七个仲冬夜。贝因兰人……在律法上，他们从不把事情弄简单——或便宜。,想听故事，嗯？我讲个短的。长的嘛，够让长屋里的人乐上六七个仲冬夜。贝因兰人……在律法上，他们从不把事情弄简单——或者弄便宜。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002245,对话文本,"See, I came to Beinland some years ago, like many from the Nordvyg. Land for the taking, they said, and all men stand equal before the law. I found one unsettled valley with a stream and lush grass, and built my home there. I should have asked why no one done so before.",瞧，我多年前来到贝因兰，和许多诺德维格人一样。他们说，土地任取，法律面前人人平等。我找到一处无人定居的山谷，有溪流和茂草，便在那里建了家。我本该问问为何之前无人定居。,瞧，我多年前来到贝因兰，和许多诺德维格人一样。他们说，土地任取，法律面前人人平等。我找到一处无人定居的山谷，有溪流和茂草，便在那里建了家。我本该问问为什么之前没人定居。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002246,对话文本,"Turns out my neighbor, Odig, was a difficult one. People say he had troll-blood. One day he shows up with his retainers and tells me my sheep had broken into his fields, when they hadn't, and demanded compensation. I told him to go away. Then I started to find my sheep dead in their pastures, and then one of my herdsman. I decided to take my case before the Thing.",结果我的邻居奥迪格是个难缠的家伙。人们说他流着巨魔的血。一天他带着随从出现，说我的羊闯进了他的田地——其实没有——要求赔偿。我让他滚蛋。随后我开始在牧场发现死羊，接着是一个牧人。我决定将案子告到庭会。,结果我的邻居奥迪格是个难缠的家伙。人们说他流着巨魔的血。一天他带着随从出现，说我的羊闯进了他的田地——其实没有——要求赔偿。我让他滚蛋。随后我开始在牧场发现死羊，接着是一个牧人。我决定把案子告到庭会。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002247,对话文本,"The Thinglaw, though... To gain a hearing I needed a chieftain to back my case. I found one, but he brought a great retinue along with him, which I had to feast. The Thing ruled in my favor and outlawed Odig - everyone hated him - but to enforce the judgment , to take his head and his property, well, I was on my own there. My chief offered to provide armed men, but not for free.",但庭会律法……要获得审理，我需要一位酋长支持我的案子。我找到一位，但他带了大队随从，我得宴请他们。庭会判我胜诉，将奥迪格逐出法外——人人都恨他——但要执行判决，取他首级、夺他财产，就得靠我自己了。那位首领愿提供武装，但并非免费。,但庭会律法……要获得审理，我需要一位酋长支持我的案子。我找到一位，但他带了大队随从，我得宴请他们。庭会判我胜诉，将奥迪格逐出法外——人人都恨他——但要执行判决，取他首级、夺他财产，就得靠我自己了。那位首领愿意提供武装，但并非免费。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002250,对话文本,"By then I had quite a few debts. Well, I sold my herd and my farmhouse to pay my creditors, and here I am, looking for a new source of income. I'll miss Beinland though. Herding in the lonely moors, hunting in the quiet woods. I like to roam the land, and if you're looking for a man to scout ahead, well, I may be him.",那时我欠了不少债。于是，我卖掉畜群和农舍来还债，如今在此，寻找新的财源。不过我会想念贝因兰的。在荒原上放牧，在幽林中狩猎。我喜欢漫游四方，若你需要一个探路之人，或许我正合适。,那时我欠了不少债。于是，我卖掉畜群和农舍来还债，如今在此，寻找新的财源。不过我会想念贝因兰的。在荒原上放牧，在幽林中狩猎。我喜欢漫游四方，如果你需要一个探路的人，或许我正合适。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002251,对话文本,"I'm from the Nordvyg, but moved to Beinland. I bought a herd of sheep there, which I hoped would make my fortune, but between several bad winters and some disputes with my neighbors, well, that all came to naught. I'm much poorer than I was before, but at least I'm a bit wiser for having studied at the foot of such a harsh teacher as that island. If you're looking for someone to lead your company through the wilds, well, I may be him.",我来自诺德维格，但搬到了贝因兰。我在那里买了一群羊，指望以此致富，但几场严冬和邻里纠纷让一切化为乌有。我比从前穷多了，但至少在那座岛屿严酷的教训下变得聪明了些。若你需要一个能带领队伍穿越荒野的人，或许我正合适。,我来自诺德维格，但搬到了贝因兰。我在那里买了一群羊，指望以此致富，但几场严冬和邻里纠纷让一切化为乌有。我比从前穷多了，但至少在那座岛屿严酷的教训下变得聪明了些。如果你需要一个能带领队伍穿越荒野的人，或许我正合适。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002252,对话文本,"So... What am I doing in this dingy tavern, far from my homeland? Well, I suppose it's because I was taught that it's a fine thing to be ambitious, to seize what chances fate gives you...",那么……我为何会在这远离故乡的肮脏酒馆里？嗯，大概是因为我从小被教导，雄心是好事，要抓住命运给予的机会……,那么……我为何会在这远离故乡的肮脏酒馆里？嗯，大概是因为我从小被教导，雄心是好事，要抓住命运给的机会……,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002255,对话文本,"But you know what complications can come of love. The daughter was late in her time, and soon people would be asking questions. I helped myself to a blade and a horse in place of my long-unpaid wages and rode away as fast as I could. Maybe I'll go back 20 years from now and greet the new jarl with a cheerful, 'Hello, son!'",但你知道爱情会带来什么麻烦。那位女儿有了身孕，很快人们就会追问。我拿了一把剑和一匹马，权当久未支付的工钱，然后尽快骑马离去。也许二十年后我会回去，对新雅尔欢快地打个招呼：‘你好，儿子！’,但你知道爱情会惹出什么麻烦。那姑娘怀了身孕，很快人们就会追问。我拿了一把剑和一匹马，权当抵了拖欠已久的工钱，然后拼命骑马跑了。也许二十年后我会回去，对新雅尔打个招呼：‘嘿，儿子！’,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002256,对话文本,I suppose you owed nothing to a master who took you for granted.,我想，对于一个视你为理所当然的主人，你并不欠他什么。,我想，对一个把你当理所当然的主人，你也不欠他什么。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002257,对话文本,Only a scoundrel would boast of such base behavior.,只有无赖才会吹嘘如此卑劣的行径。,只有无赖才会吹嘘这种下作事。,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
T002258,对话文本,"So, I don't mind sharpening blades and fixing armor, but the one thing I ask is the chance to better myself. Now that I've laid that out straight, what do you say? Do you have work for a man like me?",所以，我不介意磨刀修甲，但我只求一个提升自己的机会。既然我已直言不讳，你怎么说？有活给我这样的人干吗？,所以，我不介意磨刀修甲，但我只求一个往上爬的机会。话都挑明了，你怎么说？有活给我这样的人干吗？,对话/剧情全量润色,NavalDLC/ModuleData/naval_dialog_strings.xml
