术语ID,优先级,术语类型,英文术语,统一中文译名,分类列表,模块列表,出现次数,来源文件示例,备注
G03149,P1,国家文化家族,Grand Prince,大亲王,国家文化家族,SandBox,1,SandBox/ModuleData/spkingdoms.xml,文化称呼与专名音译修订
G03150,P1,国家文化家族,Greveth,格雷韦斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03151,P1,国家文化家族,Griff,格里夫,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03152,P1,国家文化家族,Grynad,格里纳德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03153,P1,国家文化家族,Gudra,古德拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03154,P1,国家文化家族,Guldrimand,古尔德里曼德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03155,P1,国家文化家族,Gundaroving,贡达罗文,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03156,P1,国家文化家族,Gunefer,古内费尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03157,P1,国家文化家族,Gunteric,贡特里奇,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03158,P1,国家文化家族,Gusur,古苏尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03159,P1,国家文化家族,Gutlans,古特兰斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03160,P1,国家文化家族,Gutrag,古特拉格,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03161,P1,国家文化家族,Gwennein,格温内因,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03162,P1,国家文化家族,Gweth,格韦斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03163,P1,国家文化家族,Gyn,金,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03164,P1,国家文化家族,Halgard,哈尔加德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03165,P1,国家文化家族,Hamezan,哈梅赞,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03166,P1,国家文化家族,Hamindar,哈明达尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03167,P1,国家文化家族,Hand,汉德,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03168,P1,国家文化家族,Haratheos,哈拉塞奥斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03169,P1,国家文化家族,Harfit,哈菲特,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03170,P1,国家文化家族,Hecaron,赫卡隆,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03171,P1,国家文化家族,Helmold,赫尔莫尔德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03172,P1,国家文化家族,Herena,赫雷纳,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03173,P1,国家文化家族,Hespedia,赫斯佩迪亚,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03174,P1,国家文化家族,Hidden Hand,暗手,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03175,P1,国家文化家族,High King,至高王,国家文化家族,SandBox,1,SandBox/ModuleData/spkingdoms.xml,文化称呼与专名音译修订
G03176,P1,国家文化家族,High Kingdom of the Battanians,巴旦尼亚至高王国,国家文化家族,SandBox,1,SandBox/ModuleData/spkingdoms.xml,文化称呼与专名音译修订
G03177,P1,国家文化家族,Hikhara,希卡拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03178,P1,国家文化家族,Himil,希米尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03179,P1,国家文化家族,Hirobert,希罗伯特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03180,P1,国家文化家族,Hivan,希万,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03181,P1,国家文化家族,Holujin,霍卢金,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03182,P1,国家文化家族,Hongeros,洪格罗斯,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03183,P1,国家文化家族,Hophtalamos,霍普塔拉莫斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03184,P1,国家文化家族,Humalgart,胡马尔加特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03185,P1,国家文化家族,Huskur,胡斯库尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03186,P1,国家文化家族,Hyradia,希拉迪亚,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03187,P1,国家文化家族,Hyscasia,希斯卡西亚,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03188,P1,国家文化家族,Iara,伊亚拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03189,P1,国家文化家族,Idruna,伊德鲁娜,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03190,P1,国家文化家族,Ifrain,伊弗雷恩,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03191,P1,国家文化家族,Igrunoving,伊格鲁诺文,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03192,P1,国家文化家族,Iguntha,伊贡萨,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03193,P1,国家文化家族,Ikren,伊克伦,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03194,P1,国家文化家族,Ilgai,伊尔盖,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03195,P1,国家文化家族,Ilikki,伊利基,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03196,P1,国家文化家族,Ilina,伊利娜,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03197,P1,国家文化家族,Iliset,伊利塞特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03198,P1,国家文化家族,Ilmir,伊尔米尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03199,P1,国家文化家族,Ilzar,伊尔扎尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03200,P1,国家文化家族,Imirza,伊米尔扎,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03201,P1,国家文化家族,Impestores,因佩斯托雷斯,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03202,P1,国家文化家族,Imulir,伊穆利尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03203,P1,国家文化家族,Ingchit,英奇特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03204,P1,国家文化家族,Inric,因里克,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03205,P1,国家文化家族,Iona,约娜,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03206,P1,国家文化家族,Ioren,约伦,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03207,P1,国家文化家族,Irya,伊里亚,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03208,P1,国家文化家族,Isibala,伊西巴拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03209,P1,国家文化家族,Isigund,伊西贡德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03210,P1,国家文化家族,Isilcred,伊西尔克雷德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03211,P1,国家文化家族,Isilflaed,伊西尔弗莱德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03212,P1,国家文化家族,Iskanoving,伊斯卡诺文,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03213,P1,国家文化家族,Iskar,伊斯卡尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03214,P1,国家文化家族,Islena,伊斯莱娜,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03215,P1,国家文化家族,Istiona,伊斯提奥娜,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03216,P1,国家文化家族,Isyaroving,伊西亚罗文,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03217,P1,国家文化家族,Ithicala,伊西卡拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03218,P1,国家文化家族,Itsul,伊楚尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03219,P1,国家文化家族,Ivaren,伊瓦伦,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03220,P1,国家文化家族,Ivulis,伊武利斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03221,P1,国家文化家族,Jacorios,雅科里奥斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03222,P1,国家文化家族,Jagutai,贾古泰,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03223,P1,国家文化家族,Jalin,贾林,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03224,P1,国家文化家族,Jalos,贾洛斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03225,P1,国家文化家族,Jalsyut,贾尔休特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03226,P1,国家文化家族,Jamanys,贾马尼斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03227,P1,国家文化家族,Janab,贾纳布,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03228,P1,国家文化家族,Jawwal,贾瓦尔,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03229,P1,国家文化家族,Jemynon,杰米农,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03230,P1,国家文化家族,Jeremos,杰雷莫斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03231,P1,国家文化家族,Jespara,杰斯帕拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03232,P1,国家文化家族,Jintasos,金塔索斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03233,P1,国家文化家族,Joculos,约库洛斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03234,P1,国家文化家族,Jolanna,约兰娜,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03235,P1,国家文化家族,Jolugkhu,约鲁格库,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03236,P1,国家文化家族,Julios,尤利奥斯,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03237,P1,国家文化家族,Junjad,容贾德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03238,P1,国家文化家族,Jutheros,尤塞罗斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03239,P1,国家文化家族,Juthys,尤西斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03240,P1,国家文化家族,Jythea,吉西亚,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03241,P1,国家文化家族,Kaidi,凯迪,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03242,P1,国家文化家族,Kalata,卡拉塔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03243,P1,国家文化家族,Kara,卡拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03244,P1,国家文化家族,Karakhergit,卡拉赫吉特,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03245,P1,国家文化家族,Kasyoving,卡休文,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03246,P1,国家文化家族,Kaupi,考皮,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03247,P1,国家文化家族,Kavyl,卡维尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03248,P1,国家文化家族,Kazam,卡扎姆,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03249,P1,国家文化家族,Kela,凯拉,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03250,P1,国家文化家族,Khachin,哈钦,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03251,P1,国家文化家族,Khakhun,卡库恩,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03252,P1,国家文化家族,Khemel,赫梅尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03253,P1,国家文化家族,Khergit,赫吉特,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03254,P1,国家文化家族,Khirinoving,希里诺文,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03255,P1,国家文化家族,Khomar,科马尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03256,P1,国家文化家族,Khundal,昆达尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03257,P1,国家文化家族,Khurdyut,库尔迪乌特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03258,P1,国家文化家族,Khuzait,库赛特,国家文化家族,SandBox,1,SandBox/ModuleData/spkingdoms.xml,文化称呼与专名音译修订
G03259,P1,国家文化家族,Khuzait Khanate,库赛特汗国,国家文化家族,SandBox,1,SandBox/ModuleData/spkingdoms.xml,文化称呼与专名音译修订
G03260,P1,国家文化家族,Khuzaits,库赛特人,国家文化家族,SandBox,1,SandBox/ModuleData/spkingdoms.xml,文化称呼与专名音译修订
G03261,P1,国家文化家族,Khym,基姆,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03262,P1,国家文化家族,Kingdom of Vlandia,弗兰迪亚王国,国家文化家族,SandBox,1,SandBox/ModuleData/spkingdoms.xml,文化称呼与专名音译修订
G03263,P1,国家文化家族,Koleg,科莱格,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03264,P1,国家文化家族,Koltit,科尔蒂特,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03265,P1,国家文化家族,Korot,科罗特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03266,P1,国家文化家族,Kostoroving,科斯托罗文,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03267,P1,国家文化家族,Kras,克拉斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03268,P1,国家文化家族,Kuloving,库洛文,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03269,P1,国家文化家族,Kulyat,库利亚特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03270,P1,国家文化家族,Kun,库恩,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03271,P1,国家文化家族,Kuruntai,库伦泰,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03272,P1,国家文化家族,Kusr,库斯尔,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03273,P1,国家文化家族,Kyorinoving,基奥里诺文,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03274,P1,国家文化家族,Kyraslav,基拉斯拉夫,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03275,P1,国家文化家族,Kyraslava,基拉斯拉瓦,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03276,P1,国家文化家族,Lacalion,拉卡利翁,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03277,P1,国家文化家族,Lake Rats,湖鼠,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03278,P1,国家文化家族,Lamarc,拉马克,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03279,P1,国家文化家族,Lamcard,拉姆卡德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03280,P1,国家文化家族,Lamenon,拉梅农,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03281,P1,国家文化家族,Laria,拉里亚,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03282,P1,国家文化家族,Lasilea,拉西利亚,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03283,P1,国家文化家族,Lasirys,拉西里斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03284,P1,国家文化家族,Laska,拉斯卡,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03285,P1,国家文化家族,Lasvak,拉斯瓦克,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03286,P1,国家文化家族,Lavalios,拉瓦利奥斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03287,P1,国家文化家族,Leadh,利德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03288,P1,国家文化家族,Legion,军团,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03289,P1,国家文化家族,Legion of the Betrayed,背叛者军团,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03290,P1,国家文化家族,Leonipardes,莱奥尼帕德斯,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03291,P1,国家文化家族,Leosios,莱奥西奥斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03292,P1,国家文化家族,Leothold,莱奥索尔德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03293,P1,国家文化家族,Lerosion,莱罗西翁,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03294,P1,国家文化家族,Lestharos,莱斯塔罗斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03295,P1,国家文化家族,Leutros,洛伊特罗斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03296,P1,国家文化家族,Lezhanoving,莱扎诺文,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03297,P1,国家文化家族,Lis,利斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03298,P1,国家文化家族,Lisaradh,利萨拉德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03299,P1,国家文化家族,Litka,利特卡,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03300,P1,国家文化家族,Lliari,利亚里,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03301,P1,国家文化家族,Llum,卢姆,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03302,P1,国家文化家族,Loen,洛恩,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03303,P1,国家文化家族,Lonalion,洛纳利翁,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03304,P1,国家文化家族,Looters,劫掠者,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03305,P1,国家文化家族,Lorgand,洛甘德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03306,P1,国家文化家族,Lorik,洛里克,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03307,P1,国家文化家族,Losys,洛西斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03308,P1,国家文化家族,Lovanides,洛瓦尼德斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03309,P1,国家文化家族,Lucibalda,卢西巴尔达,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03310,P1,国家文化家族,Lundana,伦达纳,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03311,P1,国家文化家族,Luona,卢奥纳,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03312,P1,国家文化家族,Luvina,卢维纳,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03313,P1,国家文化家族,Lycos,莱科斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03314,P1,国家文化家族,Lyd,利德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03315,P1,国家文化家族,Lyfris,利弗里斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03316,P1,国家文化家族,Madwan,马德万,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03317,P1,国家文化家族,Magan,马甘,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03318,P1,国家文化家族,Magna,马格纳,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03319,P1,国家文化家族,Malbert,马尔伯特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03320,P1,国家文化家族,Malub,马卢布,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03321,P1,国家文化家族,Manachild,马纳奇尔德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03322,P1,国家文化家族,Maneolis,马内奥利斯,国家文化家族,SandBox,1,SandBox/ModuleData/spclans.xml,文化称呼与专名音译修订
G03323,P1,国家文化家族,Manitesos,马尼特索斯,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03324,P1,国家文化家族,Maranjit,马兰吉特,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03325,P1,国家文化家族,Maregoving,马雷戈文,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03326,P1,国家文化家族,Marena,马雷纳,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
G03327,P1,国家文化家族,Margund,马尔贡德,国家文化家族,SandBoxCore,1,SandBoxCore/ModuleData/spcultures.xml,文化称呼与专名音译修订
