英文专名,类型,当前译名,统一音译,使用规则,来源
Heavy Iron Ballista,舰船航海,重铁弩炮,赫维艾恩巴利斯塔号,AI音译，保留文化专名。,术语表候选
Heavy Reinforced Ram,舰船航海,重型加固冲角,赫维雷因福斯特拉姆号,AI音译，保留文化专名。,术语表候选
Heavy Stone Ballista,舰船航海,重石弩炮,赫维斯通巴利斯塔号,AI音译，保留文化专名。,术语表候选
Heavy Storm Cover,舰船航海,重型风暴顶篷,赫维斯托姆卡弗号,AI音译，保留文化专名。,术语表候选
Heifer,舰船航海,小母牛,海弗号,AI音译，保留文化专名。,术语表候选
Heron,舰船航海,苍鹭,赫伦号,AI音译，保留文化专名。,术语表候选
Herring,舰船航海,鲱鱼,赫林号,AI音译，保留文化专名。,术语表候选
Hersir,舰船航海,赫尔希尔,赫尔希尔号,AI音译，保留文化专名。,术语表候选
Hind,舰船航海,雌鹿,海恩德号,AI音译，保留文化专名。,术语表候选
Hippalectryon,舰船航海,马鸡兽,希帕莱克特里昂号,AI音译，保留文化专名。,术语表候选
Hippocampus,舰船航海,海马,希波坎帕斯号,AI音译，保留文化专名。,术语表候选
Hold,舰船航海,货舱,霍尔德号,AI音译，保留文化专名。,术语表候选
Hold Off Sea Hounds,舰船航海,抵御海犬,霍尔德奥夫西豪恩兹号,AI音译，保留文化专名。,术语表候选
Home Turf Advantage,舰船航海,主场优势,霍姆特夫阿德万蒂奇号,AI音译，保留文化专名。,术语表候选
Hornet,舰船航海,大黄蜂,霍内特号,AI音译，保留文化专名。,术语表候选
Hound,舰船航海,猎犬,豪恩德号,AI音译，保留文化专名。,术语表候选
Hound of the Otherworld,舰船航海,冥界猎犬,豪恩德奥夫迪阿瑟沃尔德号,AI音译，保留文化专名。,术语表候选
Houndfish,舰船航海,狗鱼,豪恩德菲什号,AI音译，保留文化专名。,术语表候选
Hralnar's Bane,舰船航海,拉尔纳之灾,拉尔纳贝恩号,AI音译，保留文化专名。,术语表候选
Hull-Biter,舰船航海,噬壳者,哈尔拜特号,AI音译，保留文化专名。,术语表候选
I'll go there myself,舰船航海,我亲自去,艾尔戈瑟尔迈塞尔夫号,AI音译，保留文化专名。,术语表候选
Ibex,舰船航海,野山羊,伊贝克斯号,AI音译，保留文化专名。,术语表候选
Ibis,舰船航海,朱鹭,伊比斯号,AI音译，保留文化专名。,术语表候选
Imperial Fleet,舰船航海,帝国舰队,因皮里尔弗利特号,AI音译，保留文化专名。,术语表候选
Imperium,舰船航海,帝国,因皮里乌姆号,AI音译，保留文化专名。,术语表候选
Inspect shipyard,舰船航海,视察船坞,因斯佩克特希普亚德号,AI音译，保留文化专名。,术语表候选
Invincible Sun,舰船航海,不败之日,因文西布尔桑号,AI音译，保留文化专名。,术语表候选
Ironskin,舰船航海,铁皮,艾恩斯金号,AI音译，保留文化专名。,术语表候选
Jackal,舰船航海,胡狼,杰卡尔号,AI音译，保留文化专名。,术语表候选
Jackdaw,舰船航海,寒鸦,杰克道号,AI音译，保留文化专名。,术语表候选
Jasmine,舰船航海,茉莉,贾斯明号,AI音译，保留文化专名。,术语表候选
Jewel,舰船航海,宝石,朱厄尔号,AI音译，保留文化专名。,术语表候选
Justice,舰船航海,正义,贾斯蒂斯号,AI音译，保留文化专名。,术语表候选
Karakaz,舰船航海,卡拉卡兹,卡拉卡兹号,AI音译，保留文化专名。,术语表候选
Keel-Snapper,舰船航海,碎龙骨,基尔斯纳珀号,AI音译，保留文化专名。,术语表候选
Keep Watch,舰船航海,保持警戒,基普沃奇号,AI音译，保留文化专名。,术语表候选
Kestrel,舰船航海,红隼,凯斯特雷尔号,AI音译，保留文化专名。,术语表候选
Khamsin,舰船航海,喀新风,卡姆辛号,AI音译，保留文化专名。,术语表候选
Kingfisher,舰船航海,翠鸟,金菲舍号,AI音译，保留文化专名。,术语表候选
Knarr,舰船航海,克纳尔,克纳尔号,AI音译，保留文化专名。,术语表候选
Konrul,舰船航海,康鲁尔,康鲁尔号,AI音译，保留文化专名。,术语表候选
Kraken,舰船航海,克拉肯,克拉肯号,AI音译，保留文化专名。,术语表候选
Lageta River,舰船航海,拉格塔河,拉格塔河,AI音译，保留文化专名。,术语表候选
Lamassu,舰船航海,拉玛苏,拉玛苏号,AI音译，保留文化专名。,术语表候选
Lamia,舰船航海,拉米亚,拉米亚号,AI音译，保留文化专名。,术语表候选
Lance Breaker Banner,舰船航海,破枪旗,兰斯布雷克班纳号,AI音译，保留文化专名。,术语表候选
Land-Waster Banner,舰船航海,毁地旗,兰德韦斯特班纳号,AI音译，保留文化专名。,术语表候选
Large Arrow and Javelin Crates,舰船航海,大箭矢标枪箱,拉奇阿罗安德贾夫林克雷茨号,AI音译，保留文化专名。,术语表候选
Large Arrow Crates,舰船航海,大箭矢箱,拉奇阿罗克雷茨号,AI音译，保留文化专名。,术语表候选
Large Cargo Tent,舰船航海,大型货帐,拉奇卡戈坦特号,AI音译，保留文化专名。,术语表候选
Lead Sheathing,舰船航海,铅皮包覆,莱德希辛号,AI音译，保留文化专名。,术语表候选
Leaving Story Mode,舰船航海,离开故事模式,利文斯托里莫德号,AI音译，保留文化专名。,术语表候选
Leopard,舰船航海,猎豹,莱奥帕德号,AI音译，保留文化专名。,术语表候选
Liburna,舰船航海,利布尔纳,利布尔纳,AI音译，保留文化专名。,术语表候选
Light,舰船航海,轻型,莱特,AI音译，保留文化专名。,术语表候选
Light Longship,舰船航海,轻型长船,莱特长船,AI音译，保留文化专名。,术语表候选
Light Oars,舰船航海,轻桨,莱特桨,AI音译，保留文化专名。,术语表候选
Light of Dawn,舰船航海,黎明之光,黎明之光号,AI音译，保留文化专名。,术语表候选
Lily,舰船航海,百合,莉莉号,AI音译，保留文化专名。,术语表候选
Linen Sails,舰船航海,亚麻帆,莱嫩帆,AI音译，保留文化专名。,术语表候选
Lir's Wrath,舰船航海,利尔之怒,利尔之怒号,AI音译，保留文化专名。,术语表候选
Lobster,舰船航海,龙虾,洛布斯特号,AI音译，保留文化专名。,术语表候选
Lodya,舰船航海,洛迪亚,洛迪亚,AI音译，保留文化专名。,术语表候选
Longship,舰船航海,长船,长船,AI音译，保留文化专名。,术语表候选
Lotus,舰船航海,莲花,洛特斯号,AI音译，保留文化专名。,术语表候选
Loyal Gundelm,舰船航海,忠贞贡德尔姆,洛亚尔·贡德尔姆号,AI音译，保留文化专名。,术语表候选
Luck,舰船航海,幸运,拉克号,AI音译，保留文化专名。,术语表候选
Lycanthropos,舰船航海,狼人,莱坎斯罗波斯号,AI音译，保留文化专名。,术语表候选
Lynx,舰船航海,山猫,林克斯号,AI音译，保留文化专名。,术语表候选
Mackerel,舰船航海,鲭鱼,麦克雷尔号,AI音译，保留文化专名。,术语表候选
Maiden,舰船航海,少女,梅登号,AI音译，保留文化专名。,术语表候选
Main Deck Crew Capacity,舰船航海,主甲板船员容量,主甲板船员容量,AI音译，保留文化专名。,术语表候选
Majesty,舰船航海,威严,马杰斯蒂号,AI音译，保留文化专名。,术语表候选
Make good your escape,舰船航海,速速脱逃,速速脱逃,AI音译，保留文化专名。,术语表候选
Malaq's Defiance,舰船航海,马拉克的抗争,马拉克的抗争号,AI音译，保留文化专名。,术语表候选
Mandate,舰船航海,天命,曼代特号,AI音译，保留文化专名。,术语表候选
Mandate of the Great Sky,舰船航海,苍天之命,苍天之命号,AI音译，保留文化专名。,术语表候选
Manticore,舰船航海,蝎尾狮,曼提科尔号,AI音译，保留文化专名。,术语表候选
Mare,舰船航海,母马,梅尔号,AI音译，保留文化专名。,术语表候选
Mare of Eria,舰船航海,埃里亚之驹,埃里亚之驹号,AI音译，保留文化专名。,术语表候选
Mariner,舰船航海,水手,马里纳号,AI音译，保留文化专名。,术语表候选
Maritime Weal Edict,舰船航海,海事福祉令,海事福祉令,AI音译，保留文化专名。,术语表候选
Marlin,舰船航海,马林鱼,马林号,AI音译，保留文化专名。,术语表候选
Marten,舰船航海,貂,马滕号,AI音译，保留文化专名。,术语表候选
Master and commander,舰船航海,船长与指挥官,船长与指挥官,AI音译，保留文化专名。,术语表候选
Master Angler,舰船航海,钓术大师,钓术大师,AI音译，保留文化专名。,术语表候选
Master Shipwright,舰船航海,造船大师,造船大师,AI音译，保留文化专名。,术语表候选
Meet the Vlandian Merchants,舰船航海,会见瓦兰迪亚商人,会见瓦兰迪亚商人,AI音译，保留文化专名。,术语表候选
Merchant Fleet,舰船航海,商船队,商船队,AI音译，保留文化专名。,术语表候选
Merchant Prince,舰船航海,商贾王子,商贾王子,AI音译，保留文化专名。,术语表候选
Mergus,舰船航海,秋沙鸭,默格斯号,AI音译，保留文化专名。,术语表候选
Mermaid,舰船航海,美人鱼,默梅德号,AI音译，保留文化专名。,术语表候选
Might of Cetus,舰船航海,鲸涛之力,鲸涛之力号,AI音译，保留文化专名。,术语表候选
Mighty Blows,舰船航海,重击,重击,AI音译，保留文化专名。,术语表候选
Mild,舰船航海,温和,迈尔德号,AI音译，保留文化专名。,术语表候选
Moon Upon Clouds,舰船航海,云中月,云中月号,AI音译，保留文化专名。,术语表候选
Moray Eel,舰船航海,海鳗,莫瑞鳗号,AI音译，保留文化专名。,术语表候选
Moryana,舰船航海,莫里亚娜,莫里亚娜号,AI音译，保留文化专名。,术语表候选
Mount Aracathos,舰船航海,阿拉卡索斯山,阿拉卡索斯山,AI音译，保留文化专名。,术语表候选
Mount Erithrys,舰船航海,埃里瑟里斯山,埃里瑟里斯山,AI音译，保留文化专名。,术语表候选
Move Camera,舰船航海,移动视角,移动视角,AI音译，保留文化专名。,术语表候选
Mullet,舰船航海,鲻鱼,穆利特号,AI音译，保留文化专名。,术语表候选
Must have at least one ship,舰船航海,必须至少有一艘船,必须至少有一艘船,AI音译，保留文化专名。,术语表候选
Myrmidon,舰船航海,密尔弥冬,米尔米登号,AI音译，保留文化专名。,术语表候选
Naglfar-Builder,舰船航海,纳格法尔建造者,纳格法尔建造者,AI音译，保留文化专名。,术语表候选
Nahasawi,舰船航海,纳哈萨维,纳哈萨维,AI音译，保留文化专名。,术语表候选
Naval Battle Combat Penalty Negation Effect,舰船航海,海战战斗惩罚抵消效果,海战战斗惩罚抵消效果,AI音译，保留文化专名。,术语表候选
Naval Bombardment,舰船航海,舰炮轰击,舰炮轰击,AI音译，保留文化专名。,术语表候选
Naval Custom Battle,舰船航海,海战自定义战斗,海战自定义战斗,AI音译，保留文化专名。,术语表候选
Naval Horde,舰船航海,海上部落,海上部落,AI音译，保留文化专名。,术语表候选
Naval Wardenships,舰船航海,海上护卫舰,海上护卫舰,AI音译，保留文化专名。,术语表候选
Nifdal River,舰船航海,尼夫达尔河,尼夫达尔河,AI音译，保留文化专名。,术语表候选
Night Raider,舰船航海,夜袭者,夜袭者号,AI音译，保留文化专名。,术语表候选
Nimble Surge,舰船航海,灵巧突袭,灵巧突袭,AI音译，保留文化专名。,术语表候选
Njaldar,舰船航海,尼亚尔达尔,尼亚尔达尔,AI音译，保留文化专名。,术语表候选
No ships available,舰船航海,无船可用,无船可用,AI音译，保留文化专名。,术语表候选
Northern Open Sea,舰船航海,北海,北海,AI音译，保留文化专名。,术语表候选
Northern Shields,舰船航海,北盾,北盾号,AI音译，保留文化专名。,术语表候选
Not Available In Settlement,舰船航海,定居点不可用,定居点不可用,AI音译，保留文化专名。,术语表候选
Not Unlocked,舰船航海,未解锁,未解锁,AI音译，保留文化专名。,术语表候选
Nymph,舰船航海,宁芙,宁芙号,AI音译，保留文化专名。,术语表候选
Oaken Serpent,舰船航海,橡木蛇,橡木蛇号,AI音译，保留文化专名。,术语表候选
Oaken Wide Oars,舰船航海,橡木宽桨,橡木宽桨,AI音译，保留文化专名。,术语表候选
Oar,舰船航海,单桨,单桨,AI音译，保留文化专名。,术语表候选
Oar Power,舰船航海,桨力,桨力,AI音译，保留文化专名。,术语表候选
Oar Speed,舰船航海,桨速,桨速,AI音译，保留文化专名。,术语表候选
Oars,舰船航海,桨,桨,AI音译，保留文化专名。,术语表候选
Ocean-Steed,舰船航海,海马,海马号,AI音译，保留文化专名。,术语表候选
Old Salt's Touch,舰船航海,老海之手,老海之手,AI音译，保留文化专名。,术语表候选
Open Sea,舰船航海,公海,公海,AI音译，保留文化专名。,术语表候选
Optimization,舰船航海,优化,优化,AI音译，保留文化专名。,术语表候选
Orders,舰船航海,命令,命令,AI音译，保留文化专名。,术语表候选
Osprey,舰船航海,鱼鹰,奥斯普雷号,AI音译，保留文化专名。,术语表候选
Ostrich,舰船航海,鸵鸟,奥斯特里奇,AI音译，保留文化专名。,术语表候选
Otter,舰船航海,水獭,奥特,AI音译，保留文化专名。,术语表候选
Ouroboros,舰船航海,衔尾蛇,乌洛波洛斯,AI音译，保留文化专名。,术语表候选
Over fleet size,舰船航海,超出舰队规模,超出舰队规模,AI音译，保留文化专名。,术语表候选
Owl,舰船航海,猫头鹰,奥尔,AI音译，保留文化专名。,术语表候选
Paladin Aganalt,舰船航海,圣骑阿加纳特,帕拉丁·阿加纳尔特,AI音译，保留文化专名。,术语表候选
Pale Horseman,舰船航海,苍白骑士,佩尔·霍斯曼,AI音译，保留文化专名。,术语表候选
Palmatian,舰船航海,帕尔马提亚,帕尔马提安,AI音译，保留文化专名。,术语表候选
Panther,舰船航海,黑豹,潘瑟,AI音译，保留文化专名。,术语表候选
Parrot,舰船航海,鹦鹉,帕罗特,AI音译，保留文化专名。,术语表候选
Pearl,舰船航海,珍珠,珀尔,AI音译，保留文化专名。,术语表候选
Peddler,舰船航海,行商,佩德勒,AI音译，保留文化专名。,术语表候选
Pelican,舰船航海,鹈鹕,佩利肯,AI音译，保留文化专名。,术语表候选
Pharaoh's Eye,舰船航海,法老之眼,法老之眼,AI音译，保留文化专名。,术语表候选
Pilgrim,舰船航海,朝圣者,皮尔格里姆,AI音译，保留文化专名。,术语表候选
Pirate Hunter,舰船航海,海盗猎手,海盗猎手,AI音译，保留文化专名。,术语表候选
Pirate's Prowess,舰船航海,海盗之勇,海盗之勇,AI音译，保留文化专名。,术语表候选
Popular Captain,舰船航海,民望船长,民望船长,AI音译，保留文化专名。,术语表候选
Porbeagle,舰船航海,鼠鲨,波比格尔,AI音译，保留文化专名。,术语表候选
Port,舰船航海,左舷,左舷,AI音译，保留文化专名。,术语表候选
Port Authority,舰船航海,港务局,港务局,AI音译，保留文化专名。,术语表候选
Pravend River,舰船航海,普拉文德河,普拉文德河,AI音译，保留文化专名。,术语表候选
Princess,舰船航海,公主,公主,AI音译，保留文化专名。,术语表候选
Princess Sarpea,舰船航海,萨佩亚公主,萨佩亚公主,AI音译，保留文化专名。,术语表候选
Prison Dromon,舰船航海,囚犯德罗蒙,囚犯德罗蒙,AI音译，保留文化专名。,术语表候选
Prisoner ship,舰船航海,囚船,囚船,AI音译，保留文化专名。,术语表候选
Prisoners help meet skeleton crew requirement,舰船航海,囚犯协助满足最低船员需求,囚犯协助满足最低船员需求,AI音译，保留文化专名。,术语表候选
Protect the Merchants,舰船航海,保护商贾,保护商贾,AI音译，保留文化专名。,术语表候选
Purig's Party,舰船航海,普里格之队,普里格之队,AI音译，保留文化专名。,术语表候选
Purig's Roundship,舰船航海,普里格圆船,普里格圆船,AI音译，保留文化专名。,术语表候选
Qalguk,舰船航海,卡尔古克,卡尔古克,AI音译，保留文化专名。,术语表候选
Quivers,舰船航海,箭袋,箭袋,AI音译，保留文化专名。,术语表候选
Raging Hamadryas,舰船航海,怒狒,怒狒,AI音译，保留文化专名。,术语表候选
Rallying Cry,舰船航海,集结号,集结号,AI音译，保留文化专名。,术语表候选
Ram,舰船航海,撞角,撞角,AI音译，保留文化专名。,术语表候选
Ram Enemy Ship,舰船航海,撞击敌船,撞击敌船,AI音译，保留文化专名。,术语表候选
Ran's Doorman,舰船航海,澜之守门人,澜之守门人,AI音译，保留文化专名。,术语表候选
Raven Eye,舰船航海,鸦眼,鸦眼,AI音译，保留文化专名。,术语表候选
Reach the prisoner ship,舰船航海,抵达囚船,抵达囚船,AI音译，保留文化专名。,术语表候选
Reach the ship,舰船航海,抵达船只,抵达船只,AI音译，保留文化专名。,术语表候选
Red Planet,舰船航海,赤星,赤星,AI音译，保留文化专名。,术语表候选
Red Rooster,舰船航海,红公鸡,红公鸡,AI音译，保留文化专名。,术语表候选
Reinforced Battlements with Barracks,舰船航海,强化城垛与营房,强化城垛与营房,AI音译，保留文化专名。,术语表候选
Reinforced Battlements with Improved Rudder,舰船航海,强化城垛与改良舵,强化城垛与改良舵,AI音译，保留文化专名。,术语表候选
Reinforced Bronze Sheathing,舰船航海,强化青铜包层,强化青铜包层,AI音译，保留文化专名。,术语表候选
Reinforced Copper Sheathing,舰船航海,强化铜包层,强化铜包层,AI音译，保留文化专名。,术语表候选
Reinforced Northern Shields,舰船航海,强化北盾,强化北盾,AI音译，保留文化专名。,术语表候选
Reinforced Ram,舰船航海,强化撞角,强化撞角,AI音译，保留文化专名。,术语表候选
Reinforced Southern Shields,舰船航海,强化南盾,强化南盾,AI音译，保留文化专名。,术语表候选
Reinforced Wavebreaker Ram,舰船航海,强化破浪撞角,强化破浪撞角,AI音译，保留文化专名。,术语表候选
Rename,舰船航海,重命名,重命名,AI音译，保留文化专名。,术语表候选
Repair,舰船航海,修理,修理,AI音译，保留文化专名。,术语表候选
Repair All,舰船航海,全部修理,全部修理,AI音译，保留文化专名。,术语表候选
Required Culture,舰船航海,所需文化,所需文化,AI音译，保留文化专名。,术语表候选
Required Cultures,舰船航海,所需文化,所需文化,AI音译，保留文化专名。,术语表候选
Required Port Level,舰船航海,所需港口等级,所需港口等级,AI音译，保留文化专名。,术语表候选
Reserve Crew Capacity,舰船航海,后备船员容量,后备船员容量,AI音译，保留文化专名。,术语表候选
Reset Camera,舰船航海,重置视角,重置视角,AI音译，保留文化专名。,术语表候选
Resilience,舰船航海,韧性,韧性,AI音译，保留文化专名。,术语表候选
Return to Gunnar,舰船航海,返回古纳尔处,返回古纳尔处,AI音译，保留文化专名。,术语表候选
Return to Ostican,舰船航海,归航奥斯蒂坎,归航奥斯蒂坎,AI音译，保留文化专名。,术语表候选
Return to the fight,舰船航海,重返战阵,重返战阵,AI音译，保留文化专名。,术语表候选
Return to your party,舰船航海,归队,归队,AI音译，保留文化专名。,术语表候选
Revenge of Serapeos,舰船航海,塞拉佩奥斯之仇,塞拉佩奥斯之仇,AI音译，保留文化专名。,术语表候选
River Fisherman,舰船航海,河畔渔夫,河畔渔夫,AI音译，保留文化专名。,术语表候选
River Foragers,舰船航海,河畔掠食者,河畔掠食者,AI音译，保留文化专名。,术语表候选
River Raider,舰船航海,河盗,河盗,AI音译，保留文化专名。,术语表候选
River Traders,舰船航海,河商,河商,AI音译，保留文化专名。,术语表候选
Rock of Glanys,舰船航海,格拉尼斯之岩,格拉尼斯之岩,AI音译，保留文化专名。,术语表候选
Roebuck,舰船航海,雄獐,罗巴克,AI音译，保留文化专名。,术语表候选
Rolling Thunder,舰船航海,雷霆翻滚,雷霆翻滚,AI音译，保留文化专名。,术语表候选
Roof,舰船航海,船顶,船顶,AI音译，保留文化专名。,术语表候选
Rorqual,舰船航海,长须鲸,罗夸尔,AI音译，保留文化专名。,术语表候选
Rose,舰船航海,玫瑰,罗斯,AI音译，保留文化专名。,术语表候选
Rotate,舰船航海,旋转,旋转,AI音译，保留文化专名。,术语表候选
Roundship,舰船航海,圆船,圆船,AI音译，保留文化专名。,术语表候选
Royal Navy Prerogative,舰船航海,皇家海军特权,皇家海军特权,AI音译，保留文化专名。,术语表候选
Royal Ransom Claim,舰船航海,王室赎金索求,王室赎金索求,AI音译，保留文化专名。,术语表候选
Rudder Effectiveness,舰船航海,舵效,舵效,AI音译，保留文化专名。,术语表候选
Rudder Power,舰船航海,舵力,舵力,AI音译，保留文化专名。,术语表候选
Rukh's Talons,舰船航海,巨鹏之爪,鲁赫之爪号,AI音译，保留文化专名。,术语表候选
Rusalka,舰船航海,水妖,鲁萨尔卡号,AI音译，保留文化专名。,术语表候选
Sail Hitpoints,舰船航海,帆耐久,帆耐久,AI音译，保留文化专名。,术语表候选
Sail Power,舰船航海,帆力,帆力,AI音译，保留文化专名。,术语表候选
Sail Rotation Speed,舰船航海,帆转速度,帆转速度,AI音译，保留文化专名。,术语表候选
Sail to the Gulf of Charas,舰船航海,航向查拉斯湾,航向查拉斯湾,AI音译，保留文化专名。,术语表候选
Sailors,舰船航海,水手,水手,AI音译，保留文化专名。,术语表候选
Salamander,舰船航海,火蜥蜴,萨拉曼德号,AI音译，保留文化专名。,术语表候选
Salt Mare,舰船航海,盐海,盐海号,AI音译，保留文化专名。,术语表候选
Saluqi Hound,舰船航海,萨路基猎犬,萨路基猎犬号,AI音译，保留文化专名。,术语表候选
Salvage,舰船航海,打捞,打捞,AI音译，保留文化专名。,术语表候选
Sambuk,舰船航海,三桅帆船,桑布克号,AI音译，保留文化专名。,术语表候选
Sanala River,舰船航海,萨纳拉河,萨纳拉河,AI音译，保留文化专名。,术语表候选
Saucy Gallard,舰船航海,俏皮加利亚德,索西·加利亚德号,AI音译，保留文化专名。,术语表候选
Save the Crewmen,舰船航海,营救船员,营救船员,AI音译，保留文化专名。,术语表候选
Sawfish,舰船航海,锯鳐,索菲什号,AI音译，保留文化专名。,术语表候选
Scorpion,舰船航海,蝎尾,斯科皮恩号,AI音译，保留文化专名。,术语表候选
Scourge of the Barbarians,舰船航海,蛮族之鞭,蛮族之鞭号,AI音译，保留文化专名。,术语表候选
Scourge of the Seas,舰船航海,海之灾,海之灾号,AI音译，保留文化专名。,术语表候选
Scythe of Men,舰船航海,人屠,人屠号,AI音译，保留文化专名。,术语表候选
Scythe of Nav,舰船航海,纳夫之镰,纳夫之镰号,AI音译，保留文化专名。,术语表候选
Sea Hound Patrol,舰船航海,海猎犬巡逻,海猎犬巡逻队,AI音译，保留文化专名。,术语表候选
Sea Tsar,舰船航海,海沙皇,海沙皇号,AI音译，保留文化专名。,术语表候选
Seaborne Fortress,舰船航海,海上堡垒,海上堡垒号,AI音译，保留文化专名。,术语表候选
Select Ship,舰船航海,选择舰船,选择舰船,AI音译，保留文化专名。,术语表候选
Sell,舰船航海,出售,出售,AI音译，保留文化专名。,术语表候选
Sell Back,舰船航海,回购,回购,AI音译，保留文化专名。,术语表候选
Senate and People,舰船航海,元老院与人民,元老院与人民号,AI音译，保留文化专名。,术语表候选
Send to Clan,舰船航海,发往家族,发往家族,AI音译，保留文化专名。,术语表候选
Serpent,舰船航海,巨蛇,瑟彭特号,AI音译，保留文化专名。,术语表候选
Set sail,舰船航海,启航,启航,AI音译，保留文化专名。,术语表候选
Shallow Draft,舰船航海,浅吃水,浅吃水,AI音译，保留文化专名。,术语表候选
Sharpened Boarding Weapons,舰船航海,磨利登舰刃,磨利登舰刃,AI音译，保留文化专名。,术语表候选
Shattering Blow,舰船航海,碎甲一击,碎甲一击,AI音译，保留文化专名。,术语表候选
Shattering Volley,舰船航海,碎甲齐射,碎甲齐射,AI音译，保留文化专名。,术语表候选
Shield-Splinterer Banner,舰船航海,碎盾旗,碎盾旗,AI音译，保留文化专名。,术语表候选
Ship,舰船航海,舰船,舰船,AI音译，保留文化专名。,术语表候选
Ship Cleared,舰船航海,舰船已清空,舰船已清空,AI音译，保留文化专名。,术语表候选
Ship Controls,舰船航海,舰船操控,舰船操控,AI音译，保留文化专名。,术语表候选
Ship Hitpoints,舰船航海,舰船耐久,舰船耐久,AI音译，保留文化专名。,术语表候选
Ship name cannot be empty,舰船航海,舰船名称不能为空,舰船名称不能为空,AI音译，保留文化专名。,术语表候选
Ship name cannot contain special characters,舰船航海,舰船名称不能包含特殊字符,舰船名称不能包含特殊字符,AI音译，保留文化专名。,术语表候选
Ship Pulling machine,舰船航海,拖船机,拖船机,AI音译，保留文化专名。,术语表候选
Ship Sails,舰船航海,船帆,船帆,AI音译，保留文化专名。,术语表候选
Ship Types,舰船航海,舰船类型,舰船类型,AI音译，保留文化专名。,术语表候选
Ship Upgrades,舰船航海,舰船升级,舰船升级,AI音译，保留文化专名。,术语表候选
Shipboard ballistas fire during sieges,舰船航海,舰载弩炮攻城射击,舰载弩炮攻城射击,AI音译，保留文化专名。,术语表候选
Shipbuilders,舰船航海,造船匠,造船匠,AI音译，保留文化专名。,术语表候选
Shipmaster,舰船航海,船主,船主,AI音译，保留文化专名。,术语表候选
Ships,舰船航海,舰船,舰船,AI音译，保留文化专名。,术语表候选
Shipwright's Hand,舰船航海,造船匠之手,造船匠之手号,AI音译，保留文化专名。,术语表候选
Shipwright's Insight,舰船航海,造船匠之见,造船匠之见号,AI音译，保留文化专名。,术语表候选
Shipwrights,舰船航海,造船匠,造船匠,AI音译，保留文化专名。,术语表候选
Shipyard,舰船航海,船坞,船坞,AI音译，保留文化专名。,术语表候选
Shipyard Level,舰船航海,船坞等级,船坞等级,AI音译，保留文化专名。,术语表候选
Shock and Awe,舰船航海,震慑打击,震慑打击,AI音译，保留文化专名。,术语表候选
Shore Master,舰船航海,岸主,肖尔·马斯特号,AI音译，保留文化专名。,术语表候选
Shriek of Cathern,舰船航海,凯瑟恩尖啸,凯瑟恩尖啸号,AI音译，保留文化专名。,术语表候选
Shyngay's Delight,舰船航海,辛盖之悦,辛盖之悦号,AI音译，保留文化专名。,术语表候选
Side,舰船航海,侧舷,侧舷,AI音译，保留文化专名。,术语表候选
Sigil of Queen Eshora,舰船航海,艾索拉女王徽记,艾索拉女王徽记号,AI音译，保留文化专名。,术语表候选
Sign of Ulgen,舰船航海,乌尔根之兆,乌尔根之兆号,AI音译，保留文化专名。,术语表候选
Silver Eel,舰船航海,银鳗,银鳗号,AI音译，保留文化专名。,术语表候选
Silver Mermaid,舰船航海,银美人鱼,银美人鱼号,AI音译，保留文化专名。,术语表候选
Simoom,舰船航海,西蒙风,西穆姆号,AI音译，保留文化专名。,术语表候选
Simurgh,舰船航海,西穆尔格,西穆尔格号,AI音译，保留文化专名。,术语表候选
Sink Fahda's Flagship,舰船航海,击沉法赫达旗舰,击沉法赫达旗舰,AI音译，保留文化专名。,术语表候选
Sister Saved,舰船航海,获救姐妹,获救姐妹号,AI音译，保留文化专名。,术语表候选
Skatria Islands,舰船航海,斯卡特里亚群岛,斯卡特里亚群岛,AI音译，保留文化专名。,术语表候选
Skip Cinematic,舰船航海,跳过过场,跳过过场,AI音译，保留文化专名。,术语表候选
Small Boat Fisherman,舰船航海,小舟渔夫,小舟渔夫号,AI音译，保留文化专名。,术语表候选
Smile of Akhileos,舰船航海,阿基琉斯之笑,阿基琉斯之笑号,AI音译，保留文化专名。,术语表候选
Smooth Operator,舰船航海,圆滑操舵,圆滑操舵号,AI音译，保留文化专名。,术语表候选
Snekkja,舰船航海,斯内克贾,斯内克贾号,AI音译，保留文化专名。,术语表候选
Sons of the She-Wolf,舰船航海,母狼之子,母狼之子号,AI音译，保留文化专名。,术语表候选
Southern Basic Awning,舰船航海,南方基础遮阳篷,南方基础遮阳篷,AI音译，保留文化专名。,术语表候选
Southern Basic Covers,舰船航海,南方基础罩布,南方基础罩布,AI音译，保留文化专名。,术语表候选
Southern Exquisite Awning,舰船航海,南方精美遮阳篷,南方精美遮阳篷,AI音译，保留文化专名。,术语表候选
Southern Exquisite Covers,舰船航海,南方精美罩布,南方精美罩布,AI音译，保留文化专名。,术语表候选
Southern Fishing Ship,舰船航海,南方渔船,南方渔船,AI音译，保留文化专名。,术语表候选
Southern Ornate Awning,舰船航海,南方华丽遮阳篷,南方奥内特遮篷,AI音译，保留文化专名。,术语表候选
Southern Ornate Covers,舰船航海,南方华丽罩布,南方奥内特罩布,AI音译，保留文化专名。,术语表候选
Southern Shields,舰船航海,南方盾牌,南方希尔德斯,AI音译，保留文化专名。,术语表候选
Sovereignty,舰船航海,主权号,索维伦蒂号,AI音译，保留文化专名。,术语表候选
