行号,范围,模块,分类,子分类,来源文件,XML路径,记录标签,记录ID,字段,字符串ID,英文原文,中文译文,翻译状态
40047,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[50],CraftingPiece,nord_sword_blade_02_blunt,attr:name,bKmaQvWD,Blunt Embroidered Fullered Blade,钝头绣纹开槽刃,已翻译
40048,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[51],CraftingPiece,nord_sword_blade_03,attr:name,L99NU0aG,Decorated Fullered Blade,饰纹血槽刃,已翻译
40049,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[52],CraftingPiece,nord_sword_blade_04,attr:name,wk0uDFv7,Nord Broad Blade,诺德宽刃,已翻译
40050,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[53],CraftingPiece,nord_sword_blade_05,attr:name,AGHRra9l,Needle Blade,针刃,已翻译
40051,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[54],CraftingPiece,nord_sword_blade_06,attr:name,lcbBLXAK,Runed Blade,符文刃,已翻译
40052,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[55],CraftingPiece,nord_sword_blade_07,attr:name,fEsH0AYt,Runed Short Blade,符文短刃,已翻译
40053,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[56],CraftingPiece,nord_sword_blade_08,attr:name,Cb406ptd,Carved Broad Blade,雕纹阔刃,已翻译
40054,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[57],CraftingPiece,nord_sword_blade_09,attr:name,czT4WJp8,Runed Fullered Blade,符文血槽刃,已翻译
40055,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[58],CraftingPiece,nord_sword_blade_10,attr:name,uLtCPJNV,Wide Fullered Blade,宽血槽刃,已翻译
40056,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[59],CraftingPiece,nord_sword_blade_11,attr:name,TriXQK01,Runed Fullered Long Blade,符文血槽长刃,已翻译
40057,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[60],CraftingPiece,nord_sword_blade_12,attr:name,VqSqC63z,Wide and Long Fullered Blade,宽长血槽刃,已翻译
40058,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[61],CraftingPiece,nord_sword_blade_13,attr:name,nMedC0tz,Nord Backsword Blade,诺德反刃剑刃,已翻译
40059,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[62],CraftingPiece,nord_sword_blade_14,attr:name,qDGTBpcu,Decoreted Fullered Blade,饰纹血槽刃,已翻译
40060,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[63],CraftingPiece,nord_sword_guard_01,attr:name,1m9ljbTV,Aiol Guard,艾奥尔卫,已翻译
40061,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[64],CraftingPiece,nord_sword_guard_02,attr:name,0W27FQgb,Golden Edged Guard,金缘护手,已翻译
40062,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[65],CraftingPiece,nord_sword_guard_03,attr:name,ZajBL3fg,Golden Knobbed Guard,金瘤护手,已翻译
40063,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[66],CraftingPiece,nord_sword_guard_04,attr:name,X5GLRGDE,Iron Drop Guard,铁滴护手,已翻译
40064,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[67],CraftingPiece,nord_sword_guard_05,attr:name,5dCoPCdD,Spotted Flat Guard,斑纹平护手,已翻译
40065,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[68],CraftingPiece,nord_sword_guard_06,attr:name,0zNCV7Cu,Striped Plain Guard,条纹素护手,已翻译
40066,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[69],CraftingPiece,nord_sword_guard_07,attr:name,klX40yOo,Decorated Guard,饰纹护手,已翻译
40067,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[70],CraftingPiece,nord_sword_guard_08,attr:name,e3ep9E0Y,Golden Concave Guard,金凹护手,已翻译
40068,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[71],CraftingPiece,nord_sword_guard_09,attr:name,n4G7lPZs,High Embroidered Guard,高绣护手,已翻译
40069,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[72],CraftingPiece,nord_sword_guard_10,attr:name,VBVzLoav,Knobbed Concave Guard,球凹护手,已翻译
40070,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[73],CraftingPiece,nord_sword_grip_01,attr:name,kjma6Nmi,Wrapped Leather Grip,缠皮握柄,已翻译
40071,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[74],CraftingPiece,nord_sword_grip_02,attr:name,yVqYzbrb,Knotted Leather Grip,结皮握柄,已翻译
40072,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[75],CraftingPiece,nord_sword_grip_03,attr:name,hE9vlEJR,Golden Bound Leather Grip,金边缠皮握柄,已翻译
40073,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[76],CraftingPiece,nord_sword_grip_04,attr:name,7bedgajA,Red Wooden Grip,红木柄,已翻译
40074,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[77],CraftingPiece,nord_sword_grip_05,attr:name,pPwzfncO,Red Grip with Iron Rings,红柄铁环,已翻译
40075,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[78],CraftingPiece,nord_sword_grip_06,attr:name,1PcXjacJ,Red Grip with Steel Rings,红柄钢环,已翻译
40076,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[79],CraftingPiece,nord_sword_grip_07,attr:name,wyZZubdO,Embroidered Bound Grip,绣纹缠皮握柄,已翻译
40077,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[80],CraftingPiece,nord_sword_grip_08,attr:name,enUe9xpC,Golden Decorated Leather Grip,金饰缠皮握柄,已翻译
40078,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[81],CraftingPiece,nord_sword_grip_09,attr:name,z6SHs9JU,Nord Wooden Grip,诺德木握柄,已翻译
40079,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[82],CraftingPiece,nord_sword_grip_10,attr:name,OsI7ezgm,Reverse Wrapped Leather,反缠皮革,已翻译
40080,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[83],CraftingPiece,nord_sword_pommel_01,attr:name,ftqk5Ogn,Aiol Pommel,艾奥尔圆头,已翻译
40081,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[84],CraftingPiece,nord_sword_pommel_02,attr:name,4kvC4aC9,Golden Hat Pommel,金帽柄首,已翻译
40083,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[86],CraftingPiece,nord_sword_pommel_04,attr:name,7vVOPvZd,Iron Hat Pommel,铁帽柄首,已翻译
40084,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[87],CraftingPiece,nord_sword_pommel_05,attr:name,yUq0E46B,Spotted Pommel,斑纹圆首,已翻译
40085,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[88],CraftingPiece,nord_sword_pommel_06,attr:name,jn4rCGMK,Striped Pommel,条纹圆首,已翻译
40086,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[89],CraftingPiece,nord_sword_pommel_07,attr:name,5c9Saf2T,Decorated Nord Pommel,饰纹诺德柄首,已翻译
40087,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[90],CraftingPiece,nord_sword_pommel_08,attr:name,185bknjx,Golden Decorated Pommel,金饰柄首,已翻译
40088,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[91],CraftingPiece,nord_sword_pommel_09,attr:name,Q1qLQzah,Runed Pommel,符文剑首,已翻译
40089,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[92],CraftingPiece,nord_sword_pommel_10,attr:name,QrOt7B1k,Hood Pommel,兜帽柄首,已翻译
40090,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[93],CraftingPiece,nord_spear_blade_1,attr:name,TnKWL9LG,Decorated Huscarl Spear Head,饰纹胡斯卡尔矛头,已翻译
40091,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[94],CraftingPiece,nord_spear_blade_1_blunt,attr:name,u5JubAYN,Decorated Blunt Spear Head,饰纹钝矛头,已翻译
40092,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[95],CraftingPiece,nord_spear_blade_2,attr:name,ZiKyZMMa,Golden Decorated Spear Head,金饰矛头,已翻译
40093,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[96],CraftingPiece,nord_spear_blade_2_blunt,attr:name,csDsLYcZ,Golden Decorated Blunt Spear Head,金饰钝矛头,已翻译
40094,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[97],CraftingPiece,nord_spear_blade_3,attr:name,J5wylxDE,Decorated Leaf Spear Head,饰纹叶刃矛头,已翻译
40095,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[98],CraftingPiece,nord_spear_blade_4,attr:name,WXpFz7b2,Thegn Spear Head,塞恩矛头,已翻译
40096,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[99],CraftingPiece,nord_spear_blade_5,attr:name,H8RwQB3u,Pike Head,矛头,已翻译
40097,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[100],CraftingPiece,nord_spear_blade_6,attr:name,DLGDKvtq,Vargr Wide Spear Head,恶狼宽矛头,已翻译
40098,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[101],CraftingPiece,nord_spear_blade_7,attr:name,UupDebkq,Longwide Spear Head,长阔矛头,已翻译
40099,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[102],CraftingPiece,nord_spear_blade_8,attr:name,PhDBPZiJ,Covered Spear Head,覆面矛头,已翻译
40100,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[103],CraftingPiece,nord_spear_blade_9,attr:name,UYv5rwjs,Decorated Nord Javalin Head,饰纹诺德标枪头,已翻译
40101,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[104],CraftingPiece,nord_spear_blade_10,attr:name,zk6V1L31,Knobbed Short Spear Head,球头短矛头,已翻译
40102,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[105],CraftingPiece,nord_spear_blade_11,attr:name,Kjd9E3pB,Drilled Short Leaf Head,钻孔短叶矛头,已翻译
40103,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[106],CraftingPiece,nord_spear_blade_12,attr:name,aYTtdE1c,Hirdmann Spear Head,家臣矛头,已翻译
40104,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[107],CraftingPiece,nord_spear_blade_13,attr:name,XJhUOn1p,Nord Atgeir Head,诺德阿特盖尔头,已翻译
40105,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[108],CraftingPiece,nord_spear_blade_13_blunt,attr:name,wf0A2FJ7,Blunt Atgeir Head,钝头刺矛头,已翻译
40106,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[109],CraftingPiece,nord_spear_guard_1,attr:name,MFCrnMGq,Hooked Wings Guard,钩翼护手,已翻译
40107,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[110],CraftingPiece,nord_spear_guard_2,attr:name,uUbmNuHS,Nord Horn Guard,诺德角护手,已翻译
40108,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[111],CraftingPiece,nord_spear_guard_3,attr:name,C6EJ8Xtq,Knobbed Spear Guard,球头矛卫,已翻译
40109,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[112],CraftingPiece,nord_spear_guard_4,attr:name,08Q8DXX4,Nord Wings Spear Guard,诺德翼矛卫,已翻译
40110,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[113],CraftingPiece,nord_spear_guard_5,attr:name,FtNa0dZi,Double Branch Guard,双叉护手,已翻译
40111,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[114],CraftingPiece,nord_spear_guard_6,attr:name,wCMEwB0k,Short Nord Guard,短诺德护手,已翻译
40112,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[115],CraftingPiece,nord_spear_guard_7,attr:name,Or6Bghr1,Horse Guard,马卫,已翻译
40113,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[116],CraftingPiece,nord_spear_guard_8,attr:name,qfr5mXzY,Short Wings Guard,短翼护手,已翻译
40114,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[117],CraftingPiece,nord_spear_guard_9,attr:name,Ky1zbM3b,Huscarl Spear Guard,胡斯卡尔矛卫,已翻译
40115,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[118],CraftingPiece,nord_spear_guard_10,attr:name,MV29Zl34,Thegn Spear Guard,塞恩矛卫,已翻译
40116,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[119],CraftingPiece,nord_spear_pommel_1,attr:name,o8GAy6OW,Spiry Decorated Pommel,旋纹饰圆首,已翻译
40117,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[120],CraftingPiece,nord_spear_pommel_2,attr:name,ZJYaskIQ,Spiry Decorated Leaf Pommel,旋纹饰叶圆首,已翻译
40118,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[121],CraftingPiece,nord_spear_pommel_3,attr:name,2SCQQwEB,Conical Nord Pommel,锥形诺德柄首,已翻译
40119,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[122],CraftingPiece,nord_spear_pommel_4,attr:name,O6WvpNuc,Spiked and Polygonal Pommel,尖刺多角圆首,已翻译
40120,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[123],CraftingPiece,nord_spear_pommel_6,attr:name,abKdnRNz,Spiked Tail Pommel,尖刺尾首,已翻译
40121,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[124],CraftingPiece,nord_spear_pommel_7,attr:name,40z0FY2G,Bowler Hat Spear Pommel,圆顶帽矛尾,已翻译
40122,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[125],CraftingPiece,coh_dagger_blade_1,attr:name,0qeiJLeM,Jambiya Blade,贾姆比亚刃,已翻译
40123,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[126],CraftingPiece,coh_dagger_blade_2,attr:name,6k4nyHPW,Dark Jambiya Blade,暗色杰贝亚刃,已翻译
40124,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[127],CraftingPiece,coh_sword_blade_2,attr:name,vW0H5fEQ,Short Broad Blade,短阔刃,已翻译
40125,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[128],CraftingPiece,coh_sword_blade_1,attr:name,7DgCFugF,Noble Kaskara Blade,贵族卡斯卡拉刃,已翻译
40126,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[129],CraftingPiece,coh_mace_head_1,attr:name,W0JwCkUo,Bandit Mace Head,匪徒锤头,已翻译
40127,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[130],CraftingPiece,coh_dagger_guard_1,attr:name,GzdCCET4,Ivory Jambiya Guard,象牙贾姆比亚护手,已翻译
40128,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[131],CraftingPiece,coh_dagger_guard_2,attr:name,uigCyRXb,Dark Jambiya Guard,暗色杰贝亚护手,已翻译
40129,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[132],CraftingPiece,coh_sword_guard_1,attr:name,BGF2I0u1,Noble Kaskara Guard,贵族卡斯卡拉护手,已翻译
40130,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[133],CraftingPiece,coh_dagger_grip_1,attr:name,ncqXLbIU,Ivory Jambiya Grip,象牙贾姆比亚握柄,已翻译
40131,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[134],CraftingPiece,coh_dagger_grip_2,attr:name,0vJOQKHO,Dark Jambiya Grip,暗色杰贝亚握柄,已翻译
40132,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[135],CraftingPiece,coh_sword_grip_1,attr:name,AWqFhbgI,Noble Kaskara Grip,贵族卡斯卡拉握柄,已翻译
40133,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[136],CraftingPiece,sickle_handle_1,attr:name,k9blsYJW,Pirate Sickle Handle,海盗镰柄,已翻译
40134,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[137],CraftingPiece,coh_axe_pommel_1,attr:name,A3CmmAT9,Barghasts Axe Pommel,巴加斯特斧尾,已翻译
40135,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[138],CraftingPiece,coh_mace_pommel_1,attr:name,0DwEWqkm,Diamond Pommel,钻石柄首,已翻译
40136,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[139],CraftingPiece,coh_mace_pommel_2,attr:name,joN8ZeJ6,Wheel Pommel,轮形圆首,已翻译
40137,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[140],CraftingPiece,coh_dagger_pommel_1,attr:name,NJsa9Kbl,Ivory Jambiya Pommel,象牙贾姆比亚柄首,已翻译
40138,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[141],CraftingPiece,coh_dagger_pommel_2,attr:name,beL2oSea,Dark Jambiya Pommel,暗色杰贝亚柄首,已翻译
40139,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[142],CraftingPiece,coh_sword_pommel_2,attr:name,eansSAbN,Short Broad Sword Pommel,短阔剑剑首,已翻译
40140,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[143],CraftingPiece,coh_sword_pommel_1,attr:name,5oMzabtt,Noble Kaskara Pommel,贵族卡斯卡拉柄首,已翻译
40141,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[144],CraftingPiece,coh_axe_head_1,attr:name,ndlfsaz2,Barghasts Axe Blade,巴加斯特斧刃,已翻译
40142,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[145],CraftingPiece,coh_mace_head_2,attr:name,CfaJyPU2,Bandit Chopper,匪徒砍刀,已翻译
40143,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[146],CraftingPiece,coh_axe_handle_1,attr:name,rEmeXd0p,Barghasts Axe Handle,巴加斯特斧柄,已翻译
40144,战帆DLC,NavalDLC,物品装备,naval_crafting_pieces.xml,NavalDLC/ModuleData/naval_crafting_pieces.xml,/CraftingPieces[1]/CraftingPiece[147],CraftingPiece,coh_mace_handle_2,attr:name,G0HMjFEO,Bandit Cleaver Handle,匪徒砍刀柄,已翻译
